"\id\""","\""time\""","\""unit\""",gas,num_pairs,native_gas,Discount,avg_discount
"\Arithmetic for BW6_761::G1/Arithmetic/Addition\""",3475.9159107805200,"\""ns\""",139,,,,
"\Arithmetic for BW6_761::G1/Arithmetic/Scalar Multiplication(worst-case)\""",1245120.5261652100,"\""ns\""",49805,,,,
",,",,,0,0,0,,
"\MSM for BW6_761::G1/MSM/1\""",1560580.6477345900,"\""ns\""",62423,1,50000,1248,1253
"\MSM for BW6_761::G1/MSM/2\""",1826669.577588300,"\""ns\""",73067,2,100000,731,731
"\MSM for BW6_761::G1/MSM/3\""",2108932.481666670,"\""ns\""",84357,3,150000,562,561
"\MSM for BW6_761::G1/MSM/4\""",2370874.7900000000,"\""ns\""",94835,4,200000,474,473
"\MSM for BW6_761::G1/MSM/5\""",2641734.222105260,"\""ns\""",105669,5,250000,423,422
"\MSM for BW6_761::G1/MSM/6\""",2906607.5961111100,"\""ns\""",116264,6,300000,388,387
"\MSM for BW6_761::G1/MSM/7\""",3171928.385625,"\""ns\""",126877,7,350000,363,362
"\MSM for BW6_761::G1/MSM/8\""",3439024.998,"\""ns\""",137561,8,400000,344,343
"\MSM for BW6_761::G1/MSM/9\""",3704273.339285710,"\""ns\""",148171,9,450000,329,329
"\MSM for BW6_761::G1/MSM/10\""",3961019.3938461600,"\""ns\""",158441,10,500000,317,317
"\MSM for BW6_761::G1/MSM/11\""",4223152.109166670,"\""ns\""",168926,11,550000,307,308
"\MSM for BW6_761::G1/MSM/12\""",4492148.7541666700,"\""ns\""",179686,12,600000,299,300
"\MSM for BW6_761::G1/MSM/13\""",4760946.6427272700,"\""ns\""",190438,13,650000,293,294
"\MSM for BW6_761::G1/MSM/14\""",5049334.2460000000,"\""ns\""",201973,14,700000,289,288
"\MSM for BW6_761::G1/MSM/15\""",5289948.905000000,"\""ns\""",211598,15,750000,282,283
"\MSM for BW6_761::G1/MSM/16\""",5560509.22,"\""ns\""",222420,16,800000,278,278
"\MSM for BW6_761::G1/MSM/17\""",5826973.721111110,"\""ns\""",233079,17,850000,274,274
"\MSM for BW6_761::G1/MSM/18\""",6088418.0511111100,"\""ns\""",243537,18,900000,271,273
"\MSM for BW6_761::G1/MSM/19\""",6368776.105,"\""ns\""",254751,19,950000,268,268
"\MSM for BW6_761::G1/MSM/20\""",6643230.80625,"\""ns\""",265729,20,1000000,266,266
"\MSM for BW6_761::G1/MSM/21\""",6901296.49625,"\""ns\""",276052,21,1050000,263,263
"\MSM for BW6_761::G1/MSM/22\""",7184995.925714290,"\""ns\""",287400,22,1100000,261,261
